dataset,model,selection_type,k,pr_auc_cv,pr_auc_test,pr_auc_diff,pr_auc_diff_percent,k_percent,pr_auc_test_percent
uci_android_permissions,svc,shap,41,0.9889160238536668,0.987642396842835,0.0012736270108318903,0.0012895629176139596,47.674418604651166,99.88105838745909
uci_android_permissions,svc,mrmr,41,0.984171835535367,0.9820971613450644,0.0020746741903026056,0.002112493826436852,47.674418604651166,99.32026432647552
uci_android_permissions,svc,mutual_info,41,0.982115767280606,0.9812859962254806,0.0008297710551253834,0.0008455955331239823,47.674418604651166,99.23823055501127
uci_android_permissions,svc,relieff,41,0.6296476198271608,0.6261082183071304,0.003539401520030405,0.005653018785794298,47.674418604651166,63.31882036404111
uci_breast_cancer,logreg,shap,8,0.9966224395142516,0.99129045557617,0.0053319839380815415,0.005378831106552338,26.666666666666668,101.10116519872207
uci_breast_cancer,logreg,mrmr,8,0.9971145429011368,0.994273631904294,0.002840910996842805,0.002857272792603096,26.666666666666668,101.4054177021836
uci_breast_cancer,logreg,mutual_info,6,0.9864437648885892,0.997810329205678,-0.011366564317088823,-0.011391507969392688,20.0,101.76612350350928
uci_breast_cancer,logreg,relieff,12,0.9926651930825808,0.9880893864589516,0.004575806623629219,0.004630964249122934,40.0,100.77468993023548
uci_breast_cancer,dt,shap,3,0.981035882205608,0.9794628133288942,0.0015730688767138234,0.0016060526804151391,10.0,102.74023130022987
uci_breast_cancer,dt,mrmr,2,0.976837229039034,0.9534958020756724,0.02334142696336161,0.024479842399462565,6.666666666666667,100.01643545415334
uci_breast_cancer,dt,mutual_info,2,0.9721583749678616,0.9548011041284804,0.01735727083938121,0.01817893880131665,6.666666666666667,100.15335441932197
uci_breast_cancer,dt,relieff,3,0.9707004475713348,0.9225355612391752,0.04816488633215954,0.0522092462944877,10.0,96.76887744442985
uci_breast_cancer,rf,mrmr,19,0.999077784960138,0.9942168829706824,0.004860901989455546,0.004889176670316998,63.333333333333336,100.19083669082261
uci_breast_cancer,rf,mutual_info,6,0.9982959850606912,0.989816734774718,0.008479250285973183,0.008566485075545888,20.0,99.74741781827235
uci_breast_cancer,rf,shap,5,0.998145834910541,0.9894396608682324,0.008706174042308557,0.008799095474572848,16.666666666666668,99.70941871482503
uci_breast_cancer,rf,relieff,19,1.0,0.990338751334992,0.009661248665007949,0.009755498966373309,63.333333333333336,99.80002331797382
uci_breast_cancer,xgb,shap,23,1.0,0.9910081981510552,0.00899180184894477,0.009073387955539584,76.66666666666667,99.89362637362638
uci_breast_cancer,xgb,mutual_info,16,1.0,0.9961904761904762,0.003809523809523818,0.0038240917782026854,53.333333333333336,100.41600000000001
uci_breast_cancer,xgb,mrmr,23,1.0,0.9938054009482582,0.0061945990517418,0.006233211296528583,76.66666666666667,100.17558441558444
uci_breast_cancer,xgb,relieff,23,1.0,0.9940476190476192,0.00595238095238082,0.005988023952095674,76.66666666666667,100.20000000000002
uci_breast_cancer,svc,mrmr,22,0.9967197948083284,0.9965986394557824,0.00012115535254597631,0.00012156885204272025,73.33333333333333,100.18996960486322
uci_breast_cancer,svc,mutual_info,13,0.986546378119726,0.9959378302790188,-0.009391452159292824,-0.009429757434419117,43.333333333333336,100.1235371929439
uci_breast_cancer,svc,relieff,22,0.9971315543761364,0.9944915072947418,0.0026400470813946475,0.0026546703134511587,73.33333333333333,99.9781355737799
